"cues","BOI","Concrete","SUBTLEX","AoA","n"
"classmate",5.363636364,4.32,1.8976,7.15,15
"claw",4.391304348,4.83,2.3502,4.7,16
"clay",5.52,4.93,2.7875,5.32,19
"cleat",4.5,4.5,1.3617,9,14
"cleavage",4.625,4.64,1.8513,12.95,13
"cleavers",5.48,4.56,0.4771,NA,16
"clergy",4.48,4.03,1.6902,10.15,14
"clergyman",4.652173913,4.73,1.2553,9.72,12
"clerk",4.68,4.28,2.8189,6.74,16
"client",4.545454545,3.9,3.4339,12.05,23
"cliff",4.64,4.71,3.0418,7.28,19
"clip",4.833333333,4.37,2.4639,6.61,15
"clipboard",5.652173913,4.93,1.5911,7.76,16
"clipper",4.923076923,4.3,1.7782,9.56,13
"clips",4.52,4.3,2.0492,NA,12
"clitoris",6.090909091,4.93,1.7404,14,15
"cloak",5.791666667,4.71,2.1875,6.95,14
"clock",4.714285714,5,3.4758,4.42,18
"closet",4.962962963,4.83,3.1405,5,22
"cloth",5.961538462,4.9,2.4942,5.3,14
"clothes",6.08,4.76,3.7126,3.11,16
"clothesline",5.333333333,4.86,1.3424,6.67,14
"clothespin",5.12,4.41,1.2041,7.83,12
"clothing",6.666666667,4.43,2.7435,4.22,16
"clove",5.086956522,4.42,1.4314,10.88,17
"clover",4.695652174,4.69,1.8325,5.74,20
"cloverleaf",4.565217391,4.86,1.0414,6.35,21
"club",5.458333333,3.78,3.7023,5.89,17
"clubhouse",4.28,4.61,1.9191,7.44,17
"coachman",4.739130435,4.12,1.4914,11.39,15
"coal",4.875,4.66,2.5263,6.65,19
"coaster",5.333333333,4.68,2.2041,7.89,15
"coat",6.565217391,4.97,3.3318,3.58,13
"cob",4.636363636,4.79,1.5563,6.52,15
"cobblestone",5.086956522,4.79,0.9542,10.5,15
"cobweb",4.916666667,4.92,1.0414,7.5,18
"cocaine",5.913043478,4.52,2.6253,12.16,18
"cock",5.04,4.79,2.7642,11.32,13
"cockatoo",4.666666667,4.73,0.9542,9.44,18
"cocktail",5.481481481,4.4,2.7451,9.53,17
"cocoa",5.625,4.89,2.4099,6.84,19
"coconut",5.64,4.79,2.3711,6.5,13
"cod",4.458333333,4.61,2.0607,11.5,17
"coffee",5.538461538,4.81,3.8676,4.94,16
"coffeepot",6.037037037,4.64,1.3424,5.53,17
"coffin",5.52,4.86,2.6646,7.79,18
"coin",6.4,4.89,2.6972,4.17,18
"coke",6.2,4.83,2.9773,4.74,21
"cola",5.565217391,4.79,2.4518,4.33,17
"colander",6,4.21,0.8451,9,13
"coleslaw",4.72,4.67,1.8062,6.72,20
"collar",5.12,4.64,2.73,6.56,19
"collarbone",5.48,4.85,1.6335,8.89,18
"colleague",5.724137931,3.79,2.5403,12.42,20
"collie",5.730769231,4.77,1.7324,7.05,15
"cologne",5.541666667,4.76,2.2095,8.26,21
"colt",4.916666667,4.96,2.4281,8.98,9
"comb",5.923076923,5,2.4914,5.5,19
"comforter",6.16,4.7,1.3222,8.61,18
"comic",4.88,4,2.7427,7,18
"committeewoman",4.857142857,4.33,0.4771,13.75,15
"commode",5.481481481,4.54,1.2041,10.56,15
"companion",5.739130435,3.75,2.5105,9.58,12
"compass",5.538461538,4.66,2.3181,8.44,20
"compasses",5.2,4.35,0.8451,NA,13
"compost",5.041666667,4.46,1.4624,9.72,15
"compressor",4.5,4.39,1.415,12.32,17
"computer",6.714285714,4.93,3.4789,9.7,16
"concert",4.714285714,4.35,2.9523,8.95,16
"conch",4.285714286,4.52,1.3222,10.5,10
"concrete",5.166666667,4.59,2.5798,7.44,12
"condiment",5.76,4.72,0.9542,9.45,21
"conditioner",5.130434783,4.21,2.0453,7.68,18
"condom",6.346153846,4.87,2.4216,12,21
"condominium",4.678571429,4.35,1.2553,12.05,14
"conductor",4.75,4.26,2.1931,7.44,25
"cone",4.608695652,4.86,2.1761,4.67,16
"confetti",4.76,4.93,1.6721,7.39,17
"congresswoman",4.32,4.48,1.2304,11.37,20
"container",5.461538462,4.85,2.3424,6.5,19
"contraceptive",5.391304348,3.89,1.2553,14.06,15
"controller",5.458333333,4.33,1.8261,10.32,26
"cookbook",5.68,4.9,1.5798,7.22,18
"cookhouse",4.423076923,4.62,0.301,10.71,11
"cookie",6.5,5,2.9309,3.37,18
"cooler",5.625,4.14,2.5575,6.11,18
"cop",4.458333333,4.3,3.6429,4.94,17
"copier",5.136363636,4.72,1.5185,8.17,16
"copilot",4.791666667,4.59,1.7404,8.72,17
"copper",4.833333333,4.52,2.5276,7.95,22
"copybook",5,4.67,0.699,10.38,17
"cord",6.103448276,4.63,2.5551,6,15
"corduroy",5.041666667,4.56,1.5441,10.47,14
"cork",5.636363636,4.86,2.1673,9.05,18
"corkscrew",6.04,4.85,1.7634,7.78,17
"corn",6,4.96,2.8609,4.61,19
"cornbread",5.16,4.79,1.6721,6.4,20
"cornfield",4.739130435,4.96,1.5682,6.42,23
"cornflakes",5.6,4.82,1.415,5.32,15
"cornflower",4.739130435,4.71,0.6021,8.05,15
"cornmeal",5.913043478,4.83,1.1139,6.84,15
"cornstarch",5.043478261,4.56,1,9.47,20
"corridor",4.5,4.72,2.4548,9.11,13
"corsage",5.782608696,4.38,1.6902,11.47,14
"corset",5.44,4.48,1.6628,10.67,17
"corvette",5.875,4.76,1.8451,NA,23
"cosmetician",4.8,4.15,0.6021,12,14
"cosmetics",5.75,4.72,1.9956,NA,17
"costume",6.28,4.57,2.8585,4.17,20
"costumer",4.434782609,4.04,0.9542,10.95,17
"cottage",4.52173913,4.85,2.433,8.5,18
"cotton",5.28,4.97,2.8597,6,16
"couch",6.260869565,4.71,3.0785,3.74,17
"council",4.321428571,2.73,2.9365,10.63,15
"councilman",4.869565217,4.26,1.8633,11.91,11
"councilwoman",4.583333333,4.59,0.9031,11.65,15
"counselor",4.375,4.24,2.705,9.33,15
"countrywoman",4.44,4.25,0.7782,10.06,16
"coupon",4.821428571,4.79,2.0492,7.25,12
"courtyard",4.392857143,4.57,2.0414,9.95,14
"cousin",5.375,3.7,3.3965,4.95,17
"coverall",4.739130435,4.36,0.6021,9.32,11
"cow",5.434782609,4.96,3.1146,3.94,21
"cowhide",4.6,4.76,0.9031,11.44,11
"cowskin",4.652173913,4.81,0.301,9.11,15
"crab",4.889189189,4.9,2.5478,5.28,16
"crabgrass",4.956521739,4.52,0.8451,10.83,11
"cracker",5.24,4.96,2.4698,4.9,18
"crackers",5.913043478,4.93,2.4624,NA,20
"cradle",5.652173913,4.93,2.1644,5.22,21
"craftsman",4.833333333,4,1.6812,8.8,17
"cranberry",5.458333333,4.96,2,6.45,15
"crane",4.695652174,4.68,3.2343,6.78,13
"crankshaft",4.666666667,4.73,0.8451,12.69,9
"crap",4.666666667,3.67,3.4986,6.5,12
"crate",5.304347826,4.93,2.3222,7.06,12
"crawfish",4.666666667,5,1.1461,8.74,17
"crayfish",5.043478261,4.93,0.4771,9.35,15
"crayon",6.36,4.87,1.3424,3.2,19
"cream",5.153846154,4.83,3.3953,5.95,24
"creamer",5.24,4.66,1.5682,8.72,22
"creature",4.833333333,4.07,3.0386,7.32,16
"creek",4.52,4.87,2.658,5.89,19
"crepe",5.416666667,4.5,1.6335,10.89,22
"crewman",4.291666667,4.39,1.7076,10,14
"crib",5.56,4.86,2.5011,6.05,18
"cricket",4.653846154,4.77,2.1614,7.72,16
"crisps",5.130434783,4.04,1.1461,NA,19
"critter",4.863636364,4.19,1.8195,7.14,17
"crocodile",4.291666667,4.83,2.0645,5.11,16
"croissant",6,4.96,1.6628,10.15,15
"crop",4.833333333,4.24,2.3962,7.63,15
"croquet",4.84,4.59,1.6532,11.06,12
"croquette",4.681818182,4.24,0.4771,9.08,19
"cross",5,4.44,3.4484,4.74,21
"crossbar",5.043478261,4.57,0.7782,11.1,12
"crossbow",5.541666667,4.77,1.7559,10.67,12
"crosswalk",4.714285714,4.62,1.3424,6.61,17
"crossword",4.555555556,4.48,1.9542,7.21,17
"crotch",5.6,4.77,2.1492,8.94,15
"crouton",5.724137931,4.9,1.1461,8.17,14
"crowbar",6.25,4.87,1.8261,8.72,17
"crown",6.173913043,4.81,2.8445,7.8,21
"crucifix",5.68,4.45,1.7853,9.05,15
"cruiser",4.304347826,3.78,2.2122,10.26,13
"crumb",4.45,4.8,1.9685,5.89,19
"crumpet",5.136363636,4.81,1.2553,11.85,19
"crust",5.125,4.59,2.2227,5.95,21
"crutch",5.8,4.5,1.8325,7.21,20
"crypt",4.541666667,4.75,1.8513,10.68,16
"cryptographer",4.583333333,3.61,0.4771,14.73,10
"crystal",4.37037037,4.58,2.9159,7.78,23
"cube",4.75,4.62,2.1847,7.32,19
"cubical",4.36,4.21,0.301,11.2,18
"cucumber",6.04,4.83,2.0086,5.72,16
"cuff",5.333333333,4.61,2.4654,8.44,14
"cuisine",4.652173913,3.7,2,11.67,19
"cup",6.043478261,5,3.4208,3.57,18
"cupboard",5.782608696,4.79,2.1072,6.39,19
"curb",4.72,4.68,2.3222,6.81,20
"curd",4.875,4.19,1.3617,10.17,14
"curler",4.454545455,4.13,0.7782,7.62,17
"curry",4.565217391,4.84,2.0969,13.28,14
"curtain",5.875,4.82,2.721,4.95,20
"cushion",5.75,4.68,2.0453,5.53,22
"custard",4.956521739,4.85,1.8129,8.5,11
"custodian",4.481481481,4.64,1.699,8.05,16
"customer",5.541666667,3.82,2.8899,7.21,16
"cuticle",5.08,4.94,1.301,11.82,14
"cutlery",5.913043478,4.75,1.2788,9.89,15
"cutlet",5.272727273,4.52,1.2788,11.76,18
"cuttlefish",4.454545455,4.23,1.0414,12.88,11
"cymbal",5.958333333,4.92,1.1461,9.94,19
"cymbals",5.695652174,4.88,1.3979,8.13,11
"dachshund",5.125,4.67,1.2788,9.17,17
"dad",5.416666667,4.29,4.4128,2.58,15
"daddy",5.24,4.24,3.975,2.56,21
"daffodil",5.045454545,4.96,1.0414,5.63,16
"dagger",5.923076923,4.96,2.4014,8.44,24
"daggers",4.75,4.72,1.7924,NA,17
"daiquiri",5.454545455,4.62,1.6232,15.47,19
"dairy",4.28,4.45,2.1553,6.85,19
"daisy",5,5,2.8388,5.55,17
"damsel",4.652173913,3.88,1.6628,7.83,18
"dance",4.44,4.32,3.878,4.63,18
"dancer",5.090909091,4.75,2.9201,6,16
"dandelion",5.826086957,5,1.2041,5.11,13
"dandruff",4.72,4.79,1.6232,10.74,17
"darkroom",4.416666667,4.45,1.6532,11.67,20
"dart",5.291666667,4.9,1.9956,7.38,20
"dartboard",5.608695652,4.75,0.8451,8.44,16
"daughter",5.192307692,4.79,3.9415,4.95,19
"daybed",5.28,4.41,0.301,9.67,15
"debris",4.75,4.69,2.2041,11.22,13
"deck",5.541666667,4.77,3.0839,6.45,15
"decor",4.538461538,3.77,1.7243,10.89,16
"deer",4.416666667,4.86,2.6484,5.17,16
"deerskin",4.826086957,4.9,0.301,NA,18
"defendant",4.291666667,3.8,2.9566,11.42,12
"delicatessen",4.347826087,4.28,1.6232,12.06,14
"deliverer",4.52173913,3.72,0.699,8.11,19
"deliveryman",4.44,4.23,0.9031,7.76,15
"democrat",4.416666667,3.96,1.9395,11.21,16
"den",4.333333333,4.57,2.4955,5.7,14
"denim",5.416666667,4.77,1.5315,8.22,15
"denims",5.541666667,4.36,0.7782,8,17
"dentist",5.038461538,4.93,2.7574,5.22,17
"deodorant",6.36,5,1.9191,8.83,16
"dermatologist",4.92,4.21,1.4624,12.62,18
"derriere",5.5,4.65,1.2553,13.12,14
"desert",4.291666667,4.86,3.1547,8.35,22
"desk",6.260869565,4.87,3.3502,5.56,15
"dessert",5.695652174,4.93,2.8549,5.61,22
"detergent",5.227272727,4.77,1.7243,7.33,18
"detonator",4.68,4.76,2.0864,10.63,13
"device",5.75,3.97,2.9671,8.06,20
"diagram",4.5,4.36,1.8195,9.63,13
"diamond",5.304347826,4.89,3.0228,6.47,13
"diaper",5.64,4.82,2.3404,3.4,22
"diaphragm",4.269230769,3.93,2.0253,12.58,13
"dice",6.192307692,4.86,2.7275,6.37,17
"dictionary",6.04,4.62,2.281,7.28,16
"dietician",4.72,4.14,0.6021,12.35,15
"dildo",6.52173913,4.7,1.8388,15.41,17
"dime",6.083333333,4.85,2.7896,5.74,17
"diner",4.375,4.82,2.8014,6.83,20
"dinner",5.545454545,4.5,4.0144,3.99,19
"dinnerware",5.916666667,4.79,0.9031,8.9,19
"dip",4.535714286,4.22,2.6096,7,19
"diploma",5.96,4.93,2.1139,9.33,18
"dipper",4.909090909,4.21,1.5315,7.72,11
"dipstick",5.185185185,3.81,1.415,10.78,15
"dirt",5.08,4.86,3.1176,3.83,20
"dish",5.8,4.9,2.7672,4.89,18
"dishwasher",5.592592593,4.86,2.017,7.16,13
"dishwater",5.2,4.61,1.0792,6.39,14
"dispenser",4.708333333,3.84,1.7243,7.94,16
"dividers",4.384615385,4.29,0.4771,8.44,13
"divorcee",4.5,3.8,1.3979,11.63,18
"dock",4.541666667,4.64,2.6972,8.22,20
"doctor",5.68,4.69,4.1291,4.6,15
"document",4.818181818,4.41,2.7126,9.86,18
"dog",6.4,4.85,3.9928,2.8,19
"dogcatcher",4.72,4.35,1.2788,6.05,20
"doghouse",5.076923077,4.79,1.7634,6.74,15
"doll",6.434782609,5,3.1017,3.68,24
"dollar",6.24,4.93,3.1495,5.06,21
"dollhouse",5.826086957,4.86,1.3617,4.86,16
"dolphin",4.52,4.96,2.1523,6.05,15
"domino",5.96,4.59,2.3139,6.17,12
"dominoes",5.703703704,4.66,1.6628,7.7,16
"donkey",4.826086957,5,2.4378,6,13
"donut",NA,4.93,1.8633,NA,18
"door",6.217391304,4.81,4.1731,3.05,13
"doorbell",5.916666667,4.82,2.6294,5.05,18
"doorframe",5.086956522,4.79,0.6021,8.39,15
"doorknob",6.518518519,4.97,1.9395,4.7,16
"doorknocker",5.52173913,4.7,0.7782,7.06,14
"doorman",4.68,4.79,2.2122,9.32,19
"doornail",5.4,4.9,1.5682,8.14,12
"doorstep",5.333333333,5,2.238,6.11,18
"doorstop",5.260869565,4.82,1.1461,6.61,15
"dorm",4.32,4.41,2.5682,9.89,18
"dormitory",4.821428571,4.64,1.716,11.22,15
"douche",4.652173913,4.13,2.0828,13.39,18
"dough",6.086956522,4.79,2.909,6.63,17
"doughnut",6.260869565,4.96,2.3345,5.42,15
"dove",4.333333333,4.88,2.4548,6.63,11
"drain",4.291666667,4.61,2.6444,6.26,16
"drainpipe",4.875,4.86,1.4624,9.11,21
"drapery",4.68,4.32,0.6021,12,19
"drawer",6,4.67,2.8222,5.37,17
"drawers",5.869565217,4.96,2.3404,6.05,16
"drawing",4.695652174,4.6,2.9128,4.83,15
"drawstring",5.28,4.74,0.6021,9.72,18
"dress",6.16,4.93,3.6482,4.05,18
"dresser",5.04,4.96,2.2625,4.28,19
"dressing",5.08,4.03,2.9058,5.68,20
"dressmaker",4.875,4.64,1.4624,9.3,15
"driftwood",5.416666667,4.88,1.6435,9.53,16
"drill",5.739130435,4.4,2.8463,7.14,14
"drink",6.074074074,4.76,4.101,3.47,18
"driver",4.565217391,4.71,3.3833,4.95,16
"drone",4.291666667,3.93,2.1614,10.11,18
"drug",5.375,4.48,3.363,8.11,20
"drugstore",5.260869565,4.82,2.3424,7.53,17
"drum",5.8,4.96,2.6365,4.63,17
"drumstick",5.708333333,4.96,1.2788,7.79,19
"drunkard",4.571428571,3.77,1.7993,10.72,12
"dryer",5.56,4.79,2.3655,6.16,16
"drywall",5.208333333,4.7,1.2304,12.06,19
"duck",5.041666667,4.86,3.1017,3.5,18
"duckling",5.125,4.93,1.6021,4.95,16
"duckweed",4.4,4.29,0.301,13.2,11
"ductwork",4.52173913,4.81,0.699,12.6,12
"dude",5,3.93,3.7052,7.89,16
"duffel",4.380952381,4.12,1.8865,10.11,17
"dumbbell",5.958333333,4.69,1.415,7.56,17
"dumbwaiter",4.44,4.55,1.2304,11.47,15
"dumpling",4.826086957,4.65,1.6628,8.5,17
"dust",4.827586207,4.4,3.0853,5.06,17
"dustbin",5.708333333,4.54,0.9031,9.28,16
"duster",5.32,4.64,1.3222,8.11,14
"dwarf",4.333333333,4.45,2.1987,7.65,17
"dwelling",4.857142857,4.14,1.8388,9.05,20
"dye",4.52173913,4.58,2.2967,7.56,15
"dynamite",5.260869565,4.68,2.7126,7.11,16
"ear",6.652173913,5,3.213,3.63,18
"earmuff",6.260869565,4.85,0.6021,7,13
"earphone",5.52173913,4.74,0.8451,9.45,16
"earpiece",5.76,4.79,1.4472,10.28,23
"earplug",6.111111111,4.82,0.6021,7.58,21
"earplugs",6.541666667,4.9,1.6435,NA,17
"earring",6.428571429,4.96,2.143,7.17,16
"earth",5.555555556,4.8,3.7054,5.37,15
"earthworm",4.916666667,4.89,0.9031,5.35,19
"earwax",5.041666667,4.87,1,6.39,11
"easel",4.72,4.97,1.1761,7,19
"eclair",6.166666667,4.75,1.0414,10.76,12
"ecologist",4.458333333,3.68,0.4771,12.65,18
"edibles",5.428571429,3.86,0.4771,11.17,18
"editor",4.5,4.25,2.8021,10.11,16
"educator",5,4,1.3979,8.55,19
"eel",4.653846154,4.69,1.8692,6.47,19
"egg",6.068965517,4.97,3.1235,3.89,17
"eggbeater",5.96,4.89,1.1139,9.05,17
"eggplant",5.807692308,4.97,1.7559,8.3,20
"eggshell",5.791666667,4.77,1.3802,7.11,19
"elbow",6.458333333,5,2.4969,4.78,19
"electrician",4.625,4.21,1.8865,8.75,16
"electrocardiogram",4.347826087,4.16,0.699,13.29,20
"electronics",5.12,4.37,2.1461,9.21,18
"elephant",4.36,5,2.7642,4.8,25
"elevator",5.486522911,4.79,3.0955,5.47,15
"emerald",4.833333333,4.93,2.1206,8.26,12
"employee",5.045454545,4.1,2.7716,7.84,15
"employer",5.291666667,3.81,2.4393,10.15,16
"enamel",4.652173913,4.21,1.4771,12.9,15
"encyclopedia",6.16,4.79,1.9138,7.17,23
"enemy",4.375,2.83,3.3936,7.26,13
"engine",5.333333333,4.86,3.2114,6.28,16
"engineer",5.379310345,4.64,2.776,9.89,14
"entertainer",4.964285714,4.17,1.9294,7.85,13
"entomologist",4.583333333,3.88,1.301,14.86,9
"entree",5.28,4.28,1.6335,11.22,21
"envelope",5.64,4.93,2.711,6.25,18
"environment",4.52173913,3.74,2.8149,9.85,21
"environmentalist",4.482758621,3.72,1.1461,12.89,13
"epidermis",5.636363636,4.69,1.2041,13.44,19
"equipment",5.28,4.83,3.1136,7.5,15
"eraser",5.791666667,4.74,1.716,4.95,18
"erection",5.4,4.22,2.0492,13.11,8
"escalator",5.52,5,1.8261,7.11,14
"espresso",5.24,4.41,2.0253,13.26,17
"essay",4.333333333,3.97,2.4969,8.39,16
"evergreen",4.444444444,4,1.0414,8.95,16
"examiner",4.565217391,3.57,2.1173,11.95,12
"excavator",4.409090909,4.07,0.699,13,16
"excrement",4.56,4.43,1.7993,12.11,10
"executioner",4.44,4.17,1.8451,9.79,17
"extinguisher",5.043478261,4.7,1.8976,7.35,19
"eye",5.72,4.9,3.756,3.75,18
"eyeball",5.555555556,4.92,1.9777,3.83,16
"eyebath",4.368421053,3.79,0.301,12.43,22
"eyedrop",5.48,4.81,0.6021,7.39,17
"eyeglass",5.958333333,4.7,0.6021,6.33,13
"eyeglasses",6.28,4.92,1.5441,4.9,18
"eyelash",5.423076923,5,1.6532,5.8,17
"eyelid",5.52173913,5,1.2553,6.33,23
"eyepiece",5.8,4.74,0.4771,9,24
"eyewash",5.4,4.7,0.9031,11,15
"fabric",6.08,4.63,2.3909,6.68,15
"face",5.857142857,4.87,4.1687,3.75,11
"factory",4.44,4.76,2.9335,6.89,17
"fag",4.8,2.93,2.4409,9.72,8
"fairground",4.608695652,4.7,1.0414,7.22,17
"family",5.291666667,4.23,4.2569,3.38,23
"fan",5.72,4.71,3.2536,5.63,19
"farm",5.035714286,4.59,3.1855,3.85,20
"farmer",5.08,4.54,2.7818,4.74,13
"farmhand",4.4,4.52,0.6021,7.89,22
"farmhouse",5.068965517,4.74,1.8325,5.89,13
"fastener",4.347826087,4.1,0.301,8.72,15
"father",6.035714286,4.52,4.4515,4.11,21
"faucet",5.869565217,4.48,1.8692,6.29,18
"fauna",5,3.96,1.4472,12.2,9
"fawn",4.535714286,4.3,1.5682,8.4,10
"feast",4.384615385,4.3,2.5353,7.81,19
"feather",5.260869565,4.9,2.5302,4.67,18
"featherbed",5.434782609,4.69,0.9542,9.35,15
"fedora",6.291666667,4.5,1.1461,12.69,23
"feline",5.458333333,4.38,1.6721,8.43,16
"female",5.689655172,4.57,3.2076,5.89,15
"femur",4.5,4.88,1.7709,11.11,14
"fence",5.62962963,4.82,2.9138,6.28,25
"fender",4.791666667,4.54,2.1173,8.5,11
"fern",5.005471956,5,2.2148,8.67,13
"ferret",5,4.97,1.9243,8.47,23
"ferryboat",5.083333333,4.77,1.3424,8.63,12
"fertilizer",5.217391304,4.76,2.0043,7.67,15
"festival",4.5,4.33,2.7042,8.39,19
"fiancee",5.652173913,3.86,2.1903,8.47,15
"fiddle",6.043478261,4.81,2.2695,8.28,18
"fieldstone",4.761904762,3.86,1.0414,NA,11
"fig",5.083333333,4.97,1.7993,8.06,14
"figurine",5.791666667,4.86,1.1761,9,24
"file",5.041666667,4.41,3.3516,8.21,19
"fillet",4.32,4.75,1.415,10.95,12
"film",4.32,4.71,3.5223,6.95,17
"finger",6,5,3.2721,3.43,17
"fingerboard",5.15,4.35,0.699,11.65,15
"fingernail",5.88,4.93,1.8388,4,12
"fingerprint",4.291666667,4.96,2.2148,7.56,16
"fingertip",5.928571429,4.93,1.0414,6,13
"fir",4.272727273,4.58,1.3617,8.75,12
"firearm",5.814814815,4.64,1.8865,9.94,19
"firebox",4.363636364,4.46,0.4771,9.47,11
"firecracker",4.916666667,4.68,1.7404,5.56,14
"fireplace",5.458333333,4.68,2.415,7.37,18
"firewood",5.72,4.93,1.8921,6.61,17
"firstborn",4.518518519,4.04,1.6128,8.83,17
"fish",5.592592593,5,3.6293,4.05,18
"fishbone",5.173913043,4.57,0.699,7.64,13
"fisherman",4.851851852,4.73,2.3464,5.16,19
"fishpond",4.791666667,4.71,0.6021,6.94,17
"fist",6.08,4.93,2.5752,4.58,14
"fixture",5,4.17,1.5185,8.53,15
"flag",5.851851852,4.79,2.9509,5.33,16
"flagpole",4.785714286,4.86,1.5798,6.44,20
"flamethrower",4.740740741,4.57,1.4771,8.89,12
"flannel",4.869565217,4.43,1.8513,9.44,13
"flannels",5.681818182,4.57,0.4771,NA,16
"flapjack",5.2,4.89,1.1461,8.5,18
"flashbulb",4.375,4.75,0.6021,7.78,16
"flashlight",5.869565217,5,2.4814,5.61,19
"flask",5.416666667,4.79,1.7634,10.78,15
"flatiron",5.590909091,4.24,0.8451,11.67,16
"flaxseed",5.037037037,4.46,0.7782,15.78,13
"fleece",4.5,4.75,1.7782,10.2,22
"flesh",4.782608696,4.59,3.0515,8.3,16
"floor",5.666666667,4.8,3.7104,4.44,15
"floorboard",5.791666667,4.89,1.1461,9.35,18
"flooring",4.565217391,4.43,1.3617,7.84,20
"florist",4.444444444,4.62,2.0934,8.45,19
"floss",5.166666667,4.41,2.0043,7.06,17
"flounder",4.52173913,3.92,1.6435,8.8,17
"flour",5.875,4.97,2.2095,6.89,13
"flower",5.916666667,5,3.0652,3.11,22
"flowerbed",5.041666667,4.71,0.8451,7.05,22
"flowerpot",5,4.81,1.1761,6.55,21
"fluid",4.923076923,4.73,2.6599,7.94,18
"flute",5.75,5,2.0374,8.47,20
"flycatcher",5.375,4.61,0.4771,7.95,18
"flypaper",5.037037037,4.77,1.1761,9.48,12
"flyswatter",5.703703704,5,0.4771,5.79,14
"foghorn",4.583333333,4.96,1.1139,8.94,18
"folder",6.260869565,4.93,1.9243,8.21,18
"foliage",4.6,4.67,1.4472,10.63,14
"fondue",4.92,4.79,1.6812,10.78,20
"food",6.470350404,4.8,3.8964,3.25,18
"foodstuff",4.846153846,4,0.4771,11.17,17
"foot",6,4.9,3.5201,3.44,13
"football",6.12,4.73,3.2822,4.84,12
"footballer",5.041666667,4.52,1.2304,8.71,21
"footbath",5.090909091,4.46,0.699,8.53,15
"footboard",5.086956522,4.77,0.301,8.82,14
"footbridge",4.777777778,4.81,0.8451,11.2,12
"footman",4.782608696,4.55,0.699,11.59,9
"footpad",5.041666667,4.37,0.699,11.06,14
"footpath",4.592592593,4.79,1.1761,7.72,17
"footplate",4.875,4.58,0.301,11.33,18
"footstool",6.304347826,4.96,0.9542,6,18
"footwear",6.434782609,4.66,1.6128,7.74,14
"forceps",4.869565217,4.79,1.5441,13.74,15
"ford",4.416666667,4.19,2.7694,8.1,14
"forearm",5.782608696,4.69,1.7076,8.65,14
"forefinger",5.16,4.64,1.1761,7.26,13
"forehead",5.777777778,4.9,2.6031,5.58,16
"forest",4.6,4.76,2.9841,6.28,13
"fork",5.6,4.9,2.6542,3.63,14
"forklift",5.541666667,4.79,1.699,9.11,22
"fossil",4.925925926,4.9,1.9031,7.5,18
"fountain",5.208333333,4.77,2.5478,7.17,21
"fountainhead",4.523809524,3.87,0.9031,NA,13
"foxhound",4.347826087,4.48,0.4771,9.33,18
"frame",4.956521739,4.3,2.8573,7.67,16
"frankfurter",5.708333333,4.88,1.0792,NA,9
"freezer",5.260869565,4.87,2.4216,4.63,15
"fridge",6.166666667,4.92,2.7016,4.67,20
"friend",5,3.07,4.3301,3.57,23
"frog",5.125,5,2.781,4.32,16
"frosting",5,4.86,1.8633,4.95,16
"fruit",6,4.81,3.0449,3.63,22
"fruitcake",6,4.62,2.0253,8.28,16
"fryer",5.541666667,4.5,1.5315,8.56,15
"fudge",5.68,4.89,2.2695,5.78,14
"fungus",4.32,4.59,2.0531,8.44,18
"funnel",4.833333333,4.52,1.7559,8.44,23
"furnace",4.68,4.69,2.143,10.6,19
"furnishings",6.166666667,4.31,1.3979,10.28,16
"furniture",6.56,4.89,2.8865,5.89,16
"gadget",5.52,4.6,2.0969,8.63,19
"gambler",4.416666667,4.03,2.3711,10.26,18
"game",4.518518519,4.5,4.0765,4.26,22
"gangster",4.36,3.93,2.4362,8.5,14
"garage",4.96,4.96,3.1427,5.26,15
"garb",4.541666667,4.19,1.2304,12.05,14
"garbage",4.96,4.69,3.1245,4.89,13
"garden",5.913043478,4.73,3.1319,5.33,19
"gardener",4.958333333,4.5,2.3324,6.5,20
"gardenia",4.476190476,4.88,1.0792,11.94,12
"garland",5.166666667,4.85,2.0492,10.93,15
"garlic",6.32,4.89,2.4871,6.89,15
"garment",5.826086957,4.78,1.8573,8.32,17
"garnets",4.65,4.12,0.699,NA,16
"garter",4.904761905,4.78,1.8325,11.72,16
"gasket",4.846153846,4.44,1.5441,10.9,12
"gate",5.956521739,4.96,3.2135,5.32,17
"gatehouse",4.464285714,4.48,0.9542,11.67,16
"gatekeeper",4.44,4.21,1.5563,9.94,17
"gauze",5.88,4.62,1.8692,9.32,16
"gavel",4.545454545,4.88,1.6021,9.22,17
"gazebo",5.25,4.79,1.6721,9.76,12
"gear",4.695652174,4.28,2.9122,7.61,21
"gearbox",5.041666667,4.72,1,10.24,16
"gem",5.517241379,4.88,2.1038,7.68,21
"generator",4.47826087,4.23,2.4639,11.11,14
"genital",5.826086957,4.19,1.4472,9.82,19
"genitalia",5.64,4.69,1.5798,11.84,20
"genitals",6.130434783,4.96,1.8062,NA,16
"gentleman",4.961538462,3.57,3.3296,6.89,15
"geranium",4.695652174,4.76,0.9542,11.41,15
"germ",4.333333333,3.89,1.8129,5.95,19
"giblets",4.714285714,4.58,1.1761,NA,12
"gift",5.380952381,4.56,3.5173,5.05,20
"gin",5.074074074,4.46,2.7604,12.06,14
"ginger",5.32,4.92,2.5159,8.05,20
"gingerbread",5.48,4.88,1.5315,6,18
"gingersnap",4.703703704,4.76,0.301,9.11,17
