"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","n.unique","n.unique.affordance","total.affordance"
"cashier",41,4.888888889,4.89,2.2253,6.74,7,29,23,60
"cashmere",34,4.875,4.72,1.8921,13.05,8,32,22,68
"casket",39,4.714285714,4.86,2.2122,8.26,6,30,26,70
"casserole",42,5.88,4.87,1.9345,7.32,9,35,30,94
"cassette",26,5.148148148,4.6,1.9731,6.37,8,30,29,86
"castle",51,4.307692308,4.96,3.0414,5.8,6,29,23,66
"cat",33,5.913043478,4.86,3.5294,3.68,3,29,25,55
"catalogue",41,5.916666667,4.36,2.0374,7.84,9,27,24,69
"catapult",24,4.84,4.43,1.5051,10.56,8,29,26,42
"caterpillar",30,5.083333333,4.87,1.7634,5.17,11,30,20,46
"catfish",53,5,4.85,1.8062,6.61,7,37,34,133
"cathedral",35,4.5,4.86,2.281,10.58,9,33,29,69
"catnip",24,4.52,4.68,1.3424,6.89,6,26,21,37
"cattle",42,4.625,4.64,2.8293,6.53,6,32,24,73
"catwalk",37,4.652173913,4.15,1.5682,10.32,7,29,26,71
"cauldron",24,4.8,4.61,1.3979,9.61,8,28,26,56
"cauliflower",34,5.269230769,5,1.4624,6.18,11,29,29,96
"caviar",36,4.818181818,4.7,2.2923,12.83,6,35,33,78
"cayenne",35,5.347826087,4.22,1.5911,12.81,7,26,24,63
"cedar",29,4.583333333,4.83,2.1072,9.86,5,32,27,74
"celery",31,6.086956522,4.8,1.9823,5.78,6,33,27,73
"cellar",18,4.6,4.68,2.6803,8.94,6,36,29,51
"cello",34,5.038461538,4.96,1.9823,9.89,5,25,23,61
"cellophane",24,4.703703704,4.54,1.6335,11.47,10,33,28,56
"cement",38,5.04,4.97,2.3711,6.89,6,25,22,65
"cent",28,5.12,4.19,2.6848,6,4,31,23,50
"centipede",33,5.25,4.79,1.3617,7.39,9,26,20,56
"ceramic",33,4.62962963,4.04,1.7993,8.37,7,34,23,63
"ceramics",36,5.458333333,4.62,1.4771,9.5,8,27,25,73
"cereal",19,5.958333333,4.83,2.5119,4.44,6,26,23,40
"certificate",59,5.041666667,4.59,2.6618,8.42,11,35,29,105
"chain",33,5.958333333,4.55,3.0346,5.22,5,25,22,49
"chair",51,6.88,4.58,3.4,3.43,5,39,39,137
"chairman",38,4.965517241,4.31,2.7825,10.84,8,32,26,52
"chairperson",38,4.44,4.58,0.8451,11,11,25,19,51
"chairwoman",43,4.347826087,4.41,1.0414,12.95,10,33,28,53
"chalet",38,4.416666667,4.36,1.4314,13.8,6,24,20,70
"chalice",24,5.208333333,4.83,1.5185,11.35,7,29,26,57
"chalk",31,5.92,4.9,2.2648,4.47,5,26,24,65
"chambermaid",39,4.727272727,4.4,1.5051,11.72,11,30,23,61
"champagne",33,5.583333333,4.82,3.2033,10.26,9,36,32,92
"chapel",41,4.52,4.6,2.6096,6.95,6,31,30,89
"chaplain",41,4.72,4.33,2.0682,12.19,8,32,24,58
"charcoal",31,4.740740741,4.85,1.959,8,8,28,26,71
"chart",37,4.428571429,4.48,2.6848,7.59,5,36,31,76
"chauffeur",28,4.84,4.43,2.4594,9.84,9,25,22,50
"checkbook",38,5.666666667,4.97,2.0828,8.67,9,35,32,84
"checkerboard",27,5.391304348,4.96,0.7782,6.74,12,28,23,52
"checklist",36,4.464285714,4.61,1.6021,7.78,9,32,28,65
"cheddar",35,5.291666667,4.46,1.9638,7.14,7,25,21,64
"cheek",43,5.481481481,4.83,2.5635,5.06,5,25,22,82
"cheekbone",30,4.88,4.71,1.1761,7.17,9,25,22,51
"cheerleader",21,5.285714286,4.9,2.5185,6,11,28,22,43
"cheese",35,6.391304348,4.7,3.2993,4.33,6,33,29,85
"cheeseburger",41,NA,4.93,2.2148,4.78,12,30,30,103
"cheesecake",39,6.458333333,4.97,2.0755,8.11,10,32,26,87
"cheesecloth",29,5.52173913,4.8,0.4771,13.2,11,26,24,50
"chef",53,4.64,4.3,2.7832,8.3,4,25,25,78
"chemicals",49,5.04,4.14,2.4654,9.7,9,32,29,81
"cherry",43,5.454545455,4.62,2.8414,5.58,6,35,31,97
"chessboard",30,6.04,4.68,1.2553,8.37,10,32,29,70
"chest",48,5.851851852,4.93,3.3204,5.05,5,38,33,86
"chestnut",30,5.555555556,4.7,1.8195,6.55,8,25,25,71
"chevy",35,4.956521739,4.48,2.2455,NA,5,28,27,70
"chick",27,4.47826087,4.93,3.1255,5.53,5,34,20,49
"chicken",37,5.5,4.8,3.4982,3.26,7,26,24,97
"chickenfeed",26,4.72,4.78,0.6021,NA,11,33,29,59
"chihuahua",44,6.25,4.38,1.8633,NA,9,26,22,71
"child",43,5.695652174,4.78,3.9053,5.15,5,31,26,82
"childbirth",30,4.391304348,4.04,1.8976,9.25,10,35,25,42
"children",24,5.52,4.89,3.9509,4.1,8,27,22,52
"chili",35,5.291666667,4.79,2.5832,6.61,5,33,30,75
"chimney",21,4.730769231,5,2.3304,6.58,7,27,20,36
"chimpanzee",46,4.260869565,4.96,1.7993,7.26,10,29,24,66
"chin",38,5.884615385,4.89,2.8116,4.22,4,27,23,67
"chinaware",37,5.913043478,4.82,0.4771,10.05,9,35,31,79
"chinchilla",46,4.925925926,4.72,1.4472,12.67,10,33,29,83
"chip",32,5.181818182,4.71,3.022,5.89,4,25,23,50
"chiropractor",23,5.5,4.86,1.6628,12.67,12,24,24,43
"chisel",41,5.333333333,4.63,1.6628,10.53,6,25,23,60
"chocolate",29,6.307692308,4.72,3.1761,3.33,9,25,23,69
"chopsticks",56,6.391304348,5,1.9731,7.85,10,56,54,150
"choreographer",23,4.826086957,4.23,1.7324,12.25,13,27,25,52
"chow",25,4.642857143,4.47,2.5453,7.89,4,26,20,44
"chowder",31,4.96,4.7,1.9191,8,7,26,25,71
"chronograph",25,4.684210526,4.19,0.4771,13.4,11,23,22,39
"chronometer",27,4.5,4.11,1.0792,14.23,11,28,22,50
"chrysanthemum",36,5.727272727,4.57,1.1139,8.47,13,29,25,58
"cider",27,4.958333333,4.97,1.9912,5.83,5,31,30,69
"cigar",22,5.962962963,4.93,2.8202,7.67,5,26,24,49
"cigarette",28,6.272727273,4.88,3.1329,6.39,9,26,21,53
"citrus",34,4.6,4.21,1.4314,6.63,6,33,31,76
"clam",40,4.375,4.89,2.3032,7.37,4,25,22,64
"clamp",29,5.36,4.53,2.5453,10.89,5,26,20,41
"clamshell",29,4.347826087,4.82,0.6021,8.11,9,27,22,51
"clarinet",41,5.923076923,4.92,1.9085,9.22,8,34,31,83
"classmate",34,5.363636364,4.32,1.8976,7.15,9,25,23,60
"claw",34,4.391304348,4.83,2.3502,4.7,4,29,26,65
"clay",37,5.52,4.93,2.7875,5.32,4,30,26,79
"cleat",30,4.5,4.5,1.3617,9,5,30,27,66
"cleavage",20,4.625,4.64,1.8513,12.95,8,27,20,34
"cleavers",38,5.48,4.56,0.4771,NA,8,28,24,61
"clergy",38,4.48,4.03,1.6902,10.15,6,25,19,46
"clerk",49,4.68,4.28,2.8189,6.74,5,28,23,66
"client",42,4.545454545,3.9,3.4339,12.05,6,31,24,60
"cliff",26,4.64,4.71,3.0418,7.28,5,32,27,65
"clip",58,4.833333333,4.37,2.4639,6.61,4,54,47,125
"clipboard",28,5.652173913,4.93,1.5911,7.76,9,26,25,64
"clipper",20,4.923076923,4.3,1.7782,9.56,7,26,24,76
"clitoris",30,6.090909091,4.93,1.7404,14,8,33,28,68
"cloak",37,5.791666667,4.71,2.1875,6.95,5,25,23,63
"clock",36,4.714285714,5,3.4758,4.42,5,27,25,71
"closet",29,4.962962963,4.83,3.1405,5,6,39,35,93
"cloth",30,5.961538462,4.9,2.4942,5.3,5,26,22,88
"clothes",62,6.08,4.76,3.7126,3.11,7,49,44,169
"clothesline",34,5.333333333,4.86,1.3424,6.67,11,26,26,81
"clothespin",34,5.12,4.41,1.2041,7.83,10,29,27,62
"clove",29,5.086956522,4.42,1.4314,10.88,5,28,25,63
"clover",50,4.695652174,4.69,1.8325,5.74,6,39,36,96
"cloverleaf",35,4.565217391,4.86,1.0414,6.35,10,35,26,65
"club",46,5.458333333,3.78,3.7023,5.89,4,36,33,95
"clubhouse",44,4.28,4.61,1.9191,7.44,9,34,29,72
"coachman",41,4.739130435,4.12,1.4914,11.39,8,26,20,53
"coal",35,4.875,4.66,2.5263,6.65,4,33,31,77
"coaster",29,5.333333333,4.68,2.2041,7.89,7,27,23,62
"coat",24,6.565217391,4.97,3.3318,3.58,4,25,23,64
"cobblestone",25,5.086956522,4.79,0.9542,10.5,11,26,23,56
"cobweb",37,4.916666667,4.92,1.0414,7.5,6,35,27,58
"cocaine",32,5.913043478,4.52,2.6253,12.16,7,32,23,69
"cock",40,5.04,4.79,2.7642,11.32,4,30,22,51
"cockatoo",34,4.666666667,4.73,0.9542,9.44,8,36,26,73
"cocktail",44,5.481481481,4.4,2.7451,9.53,8,30,29,107
"cocoa",31,5.625,4.89,2.4099,6.84,5,33,23,71
"coconut",42,5.64,4.79,2.3711,6.5,7,26,23,90
"cod",23,4.458333333,4.61,2.0607,11.5,3,26,21,51
"coffee",40,5.538461538,4.81,3.8676,4.94,6,28,26,80
"coffeepot",23,6.037037037,4.64,1.3424,5.53,9,28,26,65
"coffin",26,5.52,4.86,2.6646,7.79,6,28,20,47
"coin",43,6.4,4.89,2.6972,4.17,4,32,26,78
"coke",35,6.2,4.83,2.9773,4.74,4,36,33,90
"cola",26,5.565217391,4.79,2.4518,4.33,4,24,23,57
"colander",21,6,4.21,0.8451,9,8,25,25,55
"coleslaw",29,4.72,4.67,1.8062,6.72,8,30,26,72
"collar",30,5.12,4.64,2.73,6.56,6,34,24,49
"collarbone",21,5.48,4.85,1.6335,8.89,10,29,21,37
"colleague",29,5.724137931,3.79,2.5403,12.42,9,25,22,65
"collie",36,5.730769231,4.77,1.7324,7.05,6,31,23,81
"cologne",45,5.541666667,4.76,2.2095,8.26,7,37,36,100
"colt",44,4.916666667,4.96,2.4281,8.98,4,25,21,72
"comb",27,5.923076923,5,2.4914,5.5,4,36,34,62
"comforter",43,6.16,4.7,1.3222,8.61,9,38,34,91
"comic",46,4.88,4,2.7427,7,5,35,28,79
"committeewoman",47,4.857142857,4.33,0.4771,13.75,14,25,24,62
"commode",38,5.481481481,4.54,1.2041,10.56,7,31,25,62
"companion",48,5.739130435,3.75,2.5105,9.58,9,26,22,62
"compass",57,5.538461538,4.66,2.3181,8.44,7,64,57,140
"compost",30,5.041666667,4.46,1.4624,9.72,7,34,31,55
"compressor",47,4.5,4.39,1.415,12.32,10,34,31,65
"computer",46,6.714285714,4.93,3.4789,9.7,8,27,24,98
"concert",40,4.714285714,4.35,2.9523,8.95,7,26,23,77
"conch",27,4.285714286,4.52,1.3222,10.5,5,25,21,56
"concrete",46,5.166666667,4.59,2.5798,7.44,8,26,24,79
"condiment",45,5.76,4.72,0.9542,9.45,9,38,29,89
"conditioner",27,5.130434783,4.21,2.0453,7.68,11,31,24,55
"condom",35,6.346153846,4.87,2.4216,12,6,36,33,66
"condominium",40,4.678571429,4.35,1.2553,12.05,11,27,24,84
"conductor",32,4.75,4.26,2.1931,7.44,9,32,29,50
"cone",29,4.608695652,4.86,2.1761,4.67,4,26,22,54
"confetti",31,4.76,4.93,1.6721,7.39,8,36,32,70
"congresswoman",33,4.32,4.48,1.2304,11.37,13,28,23,52
"container",42,5.461538462,4.85,2.3424,6.5,9,30,26,77
"contraceptive",25,5.391304348,3.89,1.2553,14.06,13,26,23,38
"controller",27,5.458333333,4.33,1.8261,10.32,10,35,22,49
"cookbook",55,5.68,4.9,1.5798,7.22,8,30,29,101
"cookhouse",24,4.423076923,4.62,0.301,10.71,9,25,22,51
"cookie",37,6.5,5,2.9309,3.37,6,28,24,86
"cooler",44,5.625,4.14,2.5575,6.11,6,29,26,75
"cop",49,4.458333333,4.3,3.6429,4.94,3,26,23,65
"copier",22,5.136363636,4.72,1.5185,8.17,6,33,30,69
"copilot",39,4.791666667,4.59,1.7404,8.72,7,28,25,62
"copper",34,4.833333333,4.52,2.5276,7.95,6,32,25,58
"copybook",28,5,4.67,0.699,10.38,8,32,26,61
"cord",42,6.103448276,4.63,2.5551,6,4,31,28,81
"corduroy",25,5.041666667,4.56,1.5441,10.47,8,25,18,40
"cork",42,5.636363636,4.86,2.1673,9.05,4,30,22,65
"corkscrew",30,6.04,4.85,1.7634,7.78,9,26,23,52
"corn",44,6,4.96,2.8609,4.61,4,36,35,118
"cornbread",35,5.16,4.79,1.6721,6.4,9,35,35,102
"cornfield",43,4.739130435,4.96,1.5682,6.42,9,42,38,99
"cornflakes",34,5.6,4.82,1.415,5.32,10,27,25,74
"cornflower",21,4.739130435,4.71,0.6021,8.05,10,27,21,45
"cornmeal",21,5.913043478,4.83,1.1139,6.84,8,25,22,61
"cornstarch",28,5.043478261,4.56,1,9.47,10,30,26,58
"corridor",43,4.5,4.72,2.4548,9.11,8,27,26,78
"corsage",19,5.782608696,4.38,1.6902,11.47,7,26,20,34
"corset",36,5.44,4.48,1.6628,10.67,6,30,23,48
"corvette",34,5.875,4.76,1.8451,NA,8,38,33,95
"cosmetics",24,5.75,4.72,1.9956,NA,9,29,21,47
"costume",39,6.28,4.57,2.8585,4.17,7,35,28,73
"costumer",41,4.434782609,4.04,0.9542,10.95,8,27,20,48
"cottage",29,4.52173913,4.85,2.433,8.5,7,26,22,56
"cotton",38,5.28,4.97,2.8597,6,6,31,27,59
"couch",32,6.260869565,4.71,3.0785,3.74,5,29,29,105
"council",35,4.321428571,2.73,2.9365,10.63,7,27,21,51
"councilman",37,4.869565217,4.26,1.8633,11.91,10,26,20,46
"councilwoman",36,4.583333333,4.59,0.9031,11.65,12,30,20,48
"counselor",24,4.375,4.24,2.705,9.33,9,26,25,53
"countrywoman",47,4.44,4.25,0.7782,10.06,12,28,22,59
"coupon",26,4.821428571,4.79,2.0492,7.25,6,27,25,47
"courtyard",35,4.392857143,4.57,2.0414,9.95,9,27,23,62
"cousin",21,5.375,3.7,3.3965,4.95,6,30,19,40
"coverall",34,4.739130435,4.36,0.6021,9.32,8,31,26,65
"cow",35,5.434782609,4.96,3.1146,3.94,3,38,35,101
"cowhide",33,4.6,4.76,0.9031,11.44,7,26,23,47
"cowskin",22,4.652173913,4.81,0.301,9.11,7,31,27,56
"crab",20,4.889189189,4.9,2.5478,5.28,4,25,22,50
"crabgrass",38,4.956521739,4.52,0.8451,10.83,9,24,22,59
"cracker",58,5.24,4.96,2.4698,4.9,7,64,59,183
"cradle",36,5.652173913,4.93,2.1644,5.22,6,39,36,73
"craftsman",30,4.833333333,4,1.6812,8.8,9,33,28,52
"cranberry",27,5.458333333,4.96,2,6.45,9,25,23,68
"crane",30,4.695652174,4.68,3.2343,6.78,5,26,22,56
"crap",28,4.666666667,3.67,3.4986,6.5,4,30,21,41
"crate",35,5.304347826,4.93,2.3222,7.06,5,26,24,60
"crawfish",33,4.666666667,5,1.1461,8.74,8,33,28,84
"crayfish",28,5.043478261,4.93,0.4771,9.35,8,26,22,63
"crayon",38,6.36,4.87,1.3424,3.2,6,34,29,114
"cream",39,5.153846154,4.83,3.3953,5.95,5,38,30,79
"creamer",21,5.24,4.66,1.5682,8.72,7,37,25,49
"creature",39,4.833333333,4.07,3.0386,7.32,8,26,22,59
"creek",36,4.52,4.87,2.658,5.89,5,28,26,68
"crepe",38,5.416666667,4.5,1.6335,10.89,5,34,30,91
"crewman",36,4.291666667,4.39,1.7076,10,7,26,21,52
"crib",26,5.56,4.86,2.5011,6.05,4,26,20,54
"cricket",27,4.653846154,4.77,2.1614,7.72,7,27,23,54
"crisps",34,5.130434783,4.04,1.1461,NA,6,37,34,82
"critter",52,4.863636364,4.19,1.8195,7.14,7,36,27,78
"crocodile",32,4.291666667,4.83,2.0645,5.11,9,26,20,53
"croissant",28,6,4.96,1.6628,10.15,9,30,22,59
"crop",33,4.833333333,4.24,2.3962,7.63,4,27,22,70
"croquet",26,4.84,4.59,1.6532,11.06,7,32,26,60
"croquette",24,4.681818182,4.24,0.4771,9.08,9,26,21,49
"cross",28,5,4.44,3.4484,4.74,5,35,23,51
"crossbar",40,5.043478261,4.57,0.7782,11.1,8,34,27,60
"crossbow",32,5.541666667,4.77,1.7559,10.67,8,25,25,69
"crosswalk",26,4.714285714,4.62,1.3424,6.61,9,32,28,72
"crossword",40,4.555555556,4.48,1.9542,7.21,9,34,23,60
"crotch",22,5.6,4.77,2.1492,8.94,6,31,20,29
"crouton",28,5.724137931,4.9,1.1461,8.17,7,28,21,58
"crowbar",38,6.25,4.87,1.8261,8.72,7,34,31,77
"crown",35,6.173913043,4.81,2.8445,7.8,5,30,23,60
"crucifix",38,5.68,4.45,1.7853,9.05,8,32,27,64
"cruiser",31,4.304347826,3.78,2.2122,10.26,7,27,23,55
"crumb",27,4.45,4.8,1.9685,5.89,5,33,25,79
"crumpet",31,5.136363636,4.81,1.2553,11.85,7,32,30,76
"crust",37,5.125,4.59,2.2227,5.95,5,37,30,86
"crutch",36,5.8,4.5,1.8325,7.21,6,30,29,70
"crypt",38,4.541666667,4.75,1.8513,10.68,5,31,22,57
"crystal",36,4.37037037,4.58,2.9159,7.78,7,35,27,62
"cube",43,4.75,4.62,2.1847,7.32,4,31,25,68
"cubical",34,4.36,4.21,0.301,11.2,7,31,26,64
"cucumber",26,6.04,4.83,2.0086,5.72,8,25,22,65
"cuff",30,5.333333333,4.61,2.4654,8.44,4,25,20,40
"cuisine",36,4.652173913,3.7,2,11.67,7,35,29,72
"cup",39,6.043478261,5,3.4208,3.57,3,27,26,81
"cupboard",19,5.782608696,4.79,2.1072,6.39,8,27,21,44
"curb",43,4.72,4.68,2.3222,6.81,4,33,29,82
"curd",28,4.875,4.19,1.3617,10.17,4,26,23,58
"curler",19,4.454545455,4.13,0.7782,7.62,6,31,23,43
"curry",19,4.565217391,4.84,2.0969,13.28,5,26,21,40
"curtain",47,5.875,4.82,2.721,4.95,7,35,30,95
"cushion",39,5.75,4.68,2.0453,5.53,7,34,30,81
"custard",31,4.956521739,4.85,1.8129,8.5,7,27,23,63
"custodian",32,4.481481481,4.64,1.699,8.05,9,26,23,51
"customer",42,5.541666667,3.82,2.8899,7.21,8,27,24,63
"cuticle",31,5.08,4.94,1.301,11.82,7,33,32,67
"cutlery",34,5.913043478,4.75,1.2788,9.89,7,26,24,76
"cutlet",28,5.272727273,4.52,1.2788,11.76,6,28,21,57
"cuttlefish",25,4.454545455,4.23,1.0414,12.88,10,27,22,55
"cymbal",34,5.958333333,4.92,1.1461,9.94,6,31,28,70
"cymbals",38,5.695652174,4.88,1.3979,8.13,7,26,24,62
"dachshund",33,5.125,4.67,1.2788,9.17,9,25,24,87
"dad",55,5.416666667,4.29,4.4128,2.58,3,55,42,108
"daffodil",33,5.045454545,4.96,1.0414,5.63,8,26,21,53
"dagger",52,5.923076923,4.96,2.4014,8.44,6,58,56,172
"daiquiri",30,5.454545455,4.62,1.6232,15.47,8,34,32,77
"dairy",35,4.28,4.45,2.1553,6.85,5,36,27,82
"daisy",43,5,5,2.8388,5.55,5,34,28,92
"damsel",24,4.652173913,3.88,1.6628,7.83,6,31,24,35
"dance",45,4.44,4.32,3.878,4.63,5,37,32,81
"dancer",38,5.090909091,4.75,2.9201,6,6,32,29,74
"dandelion",40,5.826086957,5,1.2041,5.11,9,26,24,63
"dandruff",23,4.72,4.79,1.6232,10.74,8,34,22,39
"darkroom",29,4.416666667,4.45,1.6532,11.67,8,32,27,63
"dart",45,5.291666667,4.9,1.9956,7.38,4,37,35,94
"dartboard",34,5.608695652,4.75,0.8451,8.44,9,32,27,71
"daughter",42,5.192307692,4.79,3.9415,4.95,8,39,33,84
"daybed",23,5.28,4.41,0.301,9.67,6,27,26,69
"debris",45,4.75,4.69,2.2041,11.22,6,30,26,64
"deck",47,5.541666667,4.77,3.0839,6.45,4,26,26,80
"decor",42,4.538461538,3.77,1.7243,10.89,5,33,26,65
"deer",22,4.416666667,4.86,2.6484,5.17,4,25,21,53
"deerskin",35,4.826086957,4.9,0.301,NA,8,37,27,65
"defendant",26,4.291666667,3.8,2.9566,11.42,9,30,20,39
"delicatessen",25,4.347826087,4.28,1.6232,12.06,12,28,23,57
"deliverer",31,4.52173913,3.72,0.699,8.11,9,31,26,52
"deliveryman",23,4.44,4.23,0.9031,7.76,11,27,24,41
"democrat",20,4.416666667,3.96,1.9395,11.21,8,28,20,28
"den",30,4.333333333,4.57,2.4955,5.7,3,24,24,63
"denim",56,5.416666667,4.77,1.5315,8.22,5,63,48,143
"dentist",43,5.038461538,4.93,2.7574,5.22,7,34,29,87
"deodorant",28,6.36,5,1.9191,8.83,9,25,20,45
"dermatologist",35,4.92,4.21,1.4624,12.62,13,27,23,56
"derriere",47,5.5,4.65,1.2553,13.12,8,27,25,61
"desert",33,4.291666667,4.86,3.1547,8.35,6,34,27,51
"desk",34,6.260869565,4.87,3.3502,5.56,4,25,24,71
"dessert",43,5.695652174,4.93,2.8549,5.61,7,36,33,111
"detergent",19,5.227272727,4.77,1.7243,7.33,9,32,29,54
"detonator",28,4.68,4.76,2.0864,10.63,9,25,22,44
"device",74,5.75,3.97,2.9671,8.06,6,36,30,100
"diagram",39,4.5,4.36,1.8195,9.63,7,26,24,52
"diamond",33,5.304347826,4.89,3.0228,6.47,7,26,21,71
"diaper",33,5.64,4.82,2.3404,3.4,6,30,25,63
"diaphragm",32,4.269230769,3.93,2.0253,12.58,9,25,22,44
"dice",27,6.192307692,4.86,2.7275,6.37,4,28,24,62
"dictionary",38,6.04,4.62,2.281,7.28,10,28,26,72
"dietician",45,4.72,4.14,0.6021,12.35,9,34,27,78
"dildo",45,6.52173913,4.7,1.8388,15.41,5,32,24,73
"dime",38,6.083333333,4.85,2.7896,5.74,4,35,31,90
"diner",32,4.375,4.82,2.8014,6.83,5,35,33,101
"dinner",41,5.545454545,4.5,4.0144,3.99,6,31,26,84
"dinnerware",33,5.916666667,4.79,0.9031,8.9,10,29,29,83
"dip",22,4.535714286,4.22,2.6096,7,3,26,23,46
"diploma",35,5.96,4.93,2.1139,9.33,7,31,24,58
"dipper",35,4.909090909,4.21,1.5315,7.72,6,25,20,52
"dipstick",16,5.185185185,3.81,1.415,10.78,8,30,22,34
"dirt",51,5.08,4.86,3.1176,3.83,4,37,33,98
"dish",32,5.8,4.9,2.7672,4.89,4,26,25,88
"dishwasher",32,5.592592593,4.86,2.017,7.16,10,27,26,66
"dishwater",31,5.2,4.61,1.0792,6.39,9,25,21,60
"dispenser",23,4.708333333,3.84,1.7243,7.94,9,28,21,39
"dividers",23,4.384615385,4.29,0.4771,8.44,8,25,22,47
"divorcee",34,4.5,3.8,1.3979,11.63,8,33,24,51
"dock",54,4.541666667,4.64,2.6972,8.22,4,37,30,95
"doctor",58,5.68,4.69,4.1291,4.6,6,30,28,92
"document",44,4.818181818,4.41,2.7126,9.86,8,29,21,71
"dog",38,6.4,4.85,3.9928,2.8,3,31,28,91
"dogcatcher",27,4.72,4.35,1.2788,6.05,10,36,32,65
"doghouse",32,5.076923077,4.79,1.7634,6.74,8,32,27,53
"doll",48,6.434782609,5,3.1017,3.68,4,33,30,110
"dollar",37,6.24,4.93,3.1495,5.06,6,36,33,95
"dollhouse",42,5.826086957,4.86,1.3617,4.86,9,27,25,79
"dolphin",30,4.52,4.96,2.1523,6.05,7,27,24,56
"dominoes",43,5.703703704,4.66,1.6628,7.7,8,49,43,108
"donkey",40,4.826086957,5,2.4378,6,6,25,22,70
"donut",44,NA,4.93,1.8633,NA,5,37,37,115
"door",46,6.217391304,4.81,4.1731,3.05,4,29,28,96
"doorbell",35,5.916666667,4.82,2.6294,5.05,8,35,30,61
"doorframe",34,5.086956522,4.79,0.6021,8.39,9,27,25,59
"doorknob",25,6.518518519,4.97,1.9395,4.7,8,26,26,82
"doorknocker",40,5.52173913,4.7,0.7782,7.06,11,33,30,77
"doorman",22,4.68,4.79,2.2122,9.32,7,27,22,45
"doornail",30,5.4,4.9,1.5682,8.14,8,25,23,39
"doorstep",39,5.333333333,5,2.238,6.11,8,32,30,84
"doorstop",24,5.260869565,4.82,1.1461,6.61,8,27,21,51
"dorm",38,4.32,4.41,2.5682,9.89,4,29,24,85
"dormitory",29,4.821428571,4.64,1.716,11.22,9,28,26,70
"douche",27,4.652173913,4.13,2.0828,13.39,6,28,22,39
"dough",31,6.086956522,4.79,2.909,6.63,5,30,26,79
"doughnut",30,6.260869565,4.96,2.3345,5.42,8,26,24,54
"dove",29,4.333333333,4.88,2.4548,6.63,4,26,20,38
"drain",36,4.291666667,4.61,2.6444,6.26,5,34,28,56
"drainpipe",38,4.875,4.86,1.4624,9.11,9,37,33,69
"drapery",29,4.68,4.32,0.6021,12,7,25,21,43
"drawers",50,5.869565217,4.96,2.3404,6.05,7,35,35,149
"drawing",45,4.695652174,4.6,2.9128,4.83,7,32,29,73
"drawstring",22,5.28,4.74,0.6021,9.72,10,25,21,47
"dress",38,6.16,4.93,3.6482,4.05,5,25,22,69
"dresser",32,5.04,4.96,2.2625,4.28,7,25,20,57
"dressing",34,5.08,4.03,2.9058,5.68,8,38,28,71
"dressmaker",31,4.875,4.64,1.4624,9.3,10,27,24,55
"driftwood",34,5.416666667,4.88,1.6435,9.53,9,29,26,69
"drill",33,5.739130435,4.4,2.8463,7.14,5,26,25,55
"drink",36,6.074074074,4.76,4.101,3.47,5,25,20,57
"driver",20,4.565217391,4.71,3.3833,4.95,6,28,20,31
"drone",45,4.291666667,3.93,2.1614,10.11,5,26,24,75
"drug",45,5.375,4.48,3.363,8.11,4,31,28,81
"drugstore",28,5.260869565,4.82,2.3424,7.53,9,31,25,49
"drum",28,5.8,4.96,2.6365,4.63,4,25,22,57
"drumstick",31,5.708333333,4.96,1.2788,7.79,9,31,29,76
"dryer",28,5.56,4.79,2.3655,6.16,5,28,24,48
"drywall",42,5.208333333,4.7,1.2304,12.06,7,34,29,64
"duck",37,5.041666667,4.86,3.1017,3.5,4,30,25,79
"duckling",31,5.125,4.93,1.6021,4.95,8,27,21,54
"duckweed",37,4.4,4.29,0.301,13.2,8,26,22,46
"ductwork",26,4.52173913,4.81,0.699,12.6,8,26,22,35
"dude",49,5,3.93,3.7052,7.89,4,37,23,70
"duffel",32,4.380952381,4.12,1.8865,10.11,6,28,22,51
"dumbbell",40,5.958333333,4.69,1.415,7.56,8,34,30,84
"dumbwaiter",32,4.44,4.55,1.2304,11.47,10,26,24,52
"dumpling",30,4.826086957,4.65,1.6628,8.5,8,25,24,64
"dust",16,4.827586207,4.4,3.0853,5.06,4,29,24,32
"dustbin",37,5.708333333,4.54,0.9031,9.28,7,27,24,69
"duster",18,5.32,4.64,1.3222,8.11,6,25,23,47
"dwarf",27,4.333333333,4.45,2.1987,7.65,5,28,20,38
"dwelling",32,4.857142857,4.14,1.8388,9.05,8,28,20,59
"dye",30,4.52173913,4.58,2.2967,7.56,3,31,23,60
"dynamite",39,5.260869565,4.68,2.7126,7.11,8,33,31,75
"ear",28,6.652173913,5,3.213,3.63,3,30,28,67
"earmuff",23,6.260869565,4.85,0.6021,7,7,25,23,59
"earphone",39,5.52173913,4.74,0.8451,9.45,8,33,32,80
"earpiece",33,5.76,4.79,1.4472,10.28,8,39,34,65
"earplug",34,6.111111111,4.82,0.6021,7.58,7,33,27,51
"earplugs",38,6.541666667,4.9,1.6435,NA,8,27,24,72
"earring",44,6.428571429,4.96,2.143,7.17,7,30,26,91
"earth",36,5.555555556,4.8,3.7054,5.37,5,30,24,69
"earthworm",37,4.916666667,4.89,0.9031,5.35,9,25,21,57
"earwax",28,5.041666667,4.87,1,6.39,6,29,26,50
"easel",31,4.72,4.97,1.1761,7,5,31,26,73
"eclair",24,6.166666667,4.75,1.0414,10.76,6,26,21,48
